2321.2,1782.2
1853,1251
1854.2,1611.9
2243.6,1741.3
1413.8,1778.7
1860.6,1624.1
1437.6,1264.5
1350.1,1267.8
2283.6,1611.3
2262,1676.3
1781.1,1611.9
1791.9,1604.2
1842.8,1604.5
1596.5,1098.5
1228.9,1041.3
1895.1,1619.6
1389.3,1609.7
1774.9,1624.1
1538.3,1126.3
2130.7,1266.4
1498.3,1126.4
2038.6,1090.2
913.63,1204.2
1700,937.91
1071.8,1212.5
1706.5,30.61
2057.8,1027.5
1204.4,1124.9
2482,1240.9
2242.2,1801.6
1803.9,948.06
1905.2,1592.4
1130.4,1087.5
1816.8,947.36
1766.9,972.62
1995.1,1200
1740.5,1620.5
2286,950.34
2461.3,1286.2
2509.9,1184.5
2249.3,1736.3
2402.5,1278
2149.4,1248.1
2371.3,1138
499.85,1680.3
1538,1272.7
869.89,1578
1924.2,973.81
2465,1129.1
2285.4,1736.1
2470,1294.9
1732,1663.6
2499.5,1249.2
1394.3,1668.1
1180.9,1186.7
1738.7,912
1894.7,912.69
1610.8,894.72
2043.6,967.96
1416.3,1641.8
1999.1,1137.9
2425.1,1054.2
2345.6,1202.6
1945.4,1154.6
1901.9,1582.8
2256.5,1800.4
2524.3,1202.7
2326,1668.2
2130,1380
1325.1,656.07
1066.1,1132.6
1560.6,1061.3
1905.4,1663.5
2094.2,1229.4
1818.5,1637.2
1251.5,1097.3
1315.2,1640.8
1981.7,1099.2
2363.1,1360.1
1948.9,1228
2404.9,1045.4
2077,1018.4
1351.2,1337.9
2476.6,1128.3
2054.4,1229.1
1573.2,1080.8
1865.8,1605.9
1199.8,1270
2019,1302.6
2349.6,1092.3
1062.9,1221.6
2900.9,1313.7
1142.5,1032
1100.7,1040.8
1728.9,1593
2468.2,1217.2
2346.5,1053.5
2311.6,1639.7
1969,1199.8
2492.3,1212.5
2050.2,817.52
1144.4,1115.8
1444,954.78
1683.5,1042.1
558.25,1675.5
2487.7,1156.5
2553.9,1240.2
1763,1617.6
1678.5,1400.2
1260.2,1116.5
1051.8,1185.9
